,id,entity_id,timestamp,provider,code,report_date,announce_date,record_date,dividend_date,dividend,announce_date_general_meeting,announce_date_dividend_implementation,last_trading_day_b_shares,dividend_per_share_after_tax,dividend_per_share_before_tax,dividend_plan_progress,dividend_pay_date,share_bonus_per_share,per_share_conversion_ratio
0,stock_sz_000983_2002-06-24,stock_sz_000983,2002-06-24,emquantapi,000983,2001-12-31,,2002-06-21,2002-06-24,10?0?0?1?,,2002-06-18,,0.08,0.1,????,2002-06-24,0.0,0.0
1,stock_sz_000983_2003-06-09,stock_sz_000983,2003-06-09,emquantapi,000983,2002-12-31,,2003-06-06,2003-06-09,10?0?0?1?,,2003-06-02,,0.08,0.1,????,2003-06-09,0.0,0.0
2,stock_sz_000983_2004-06-16,stock_sz_000983,2004-06-16,emquantapi,000983,2003-12-31,2004-03-18,2004-06-15,2004-06-16,10?0?0?2?,,2004-06-09,,0.16,0.2,????,2004-06-16,0.0,0.0
3,stock_sz_000983_2005-05-19,stock_sz_000983,2005-05-19,emquantapi,000983,2004-12-31,2005-02-22,2005-05-18,2005-05-19,10?5?0?3?,,2005-05-12,,0.24,0.3,????,2005-05-19,0.0,0.5
4,stock_sz_000983_2006-05-31,stock_sz_000983,2006-05-31,emquantapi,000983,2005-12-31,2006-03-06,2006-05-30,2006-05-31,10?0?0?4?,,2006-05-24,,0.36,0.4,????,2006-05-31,0.0,0.0
5,stock_sz_000983_2007-05-25,stock_sz_000983,2007-05-25,emquantapi,000983,2006-12-31,2007-03-08,2007-05-24,2007-05-25,10?0?0?4?,,2007-05-18,,0.36,0.4,????,2007-05-25,0.0,0.0
6,stock_sz_000983_2008-06-06,stock_sz_000983,2008-06-06,emquantapi,000983,2007-12-31,2008-03-20,2008-06-05,2008-06-06,10?0?0?4.5?,,2008-05-30,,0.405,0.45,????,2008-06-06,0.0,0.0
7,stock_sz_000983_2009-05-27,stock_sz_000983,2009-05-27,emquantapi,000983,2008-12-31,2009-03-11,2009-05-26,2009-05-27,10?0?0?4.2?,,2009-05-20,,0.378,0.42,????,2009-05-27,0.0,0.0
8,stock_sz_000983_2010-06-02,stock_sz_000983,2010-06-02,emquantapi,000983,2009-12-31,2010-03-31,2010-06-01,2010-06-02,10?0?3?2?,,2010-05-26,,0.15,0.2,????,2010-06-02,0.3,0.0
9,stock_sz_000983_2011-07-05,stock_sz_000983,2011-07-05,emquantapi,000983,2010-12-31,2011-04-08,2011-07-04,2011-07-05,10?0?0?5?,,2011-06-29,,0.45,0.5,????,2011-07-05,0.0,0.0
10,stock_sz_000983_2012-06-15,stock_sz_000983,2012-06-15,emquantapi,000983,2011-12-31,2012-03-17,2012-06-14,2012-06-15,10?0?0?2?,,2012-06-11,,0.18,0.2,????,2012-06-15,0.0,0.0
11,stock_sz_000983_2013-06-21,stock_sz_000983,2013-06-21,emquantapi,000983,2012-12-31,2013-03-19,2013-06-20,2013-06-21,10?0.36?,,2013-06-15,,0.0324,0.036,????,2013-06-21,,
12,stock_sz_000983_2014-06-27,stock_sz_000983,2014-06-27,emquantapi,000983,2013-12-31,2014-04-01,2014-06-26,2014-06-27,10?0.1?,,2014-06-21,,0.009,0.01,????,2014-06-27,,
13,stock_sz_000983_2015-07-02,stock_sz_000983,2015-07-02,emquantapi,000983,2014-12-31,2015-04-07,2015-07-01,2015-07-02,10?0.03?,,2015-06-27,,0.0027,0.003,????,2015-07-02,,
14,stock_sz_000983_2016-07-13,stock_sz_000983,2016-07-13,emquantapi,000983,2015-12-31,2016-04-26,2016-07-12,2016-07-13,10?0.02?,,2016-07-06,,0.0018,0.002,????,2016-07-13,,
15,stock_sz_000983_2017-06-20,stock_sz_000983,2017-06-20,emquantapi,000983,2016-12-31,2017-03-21,2017-06-19,2017-06-20,10?0?0?0.11?,,2017-06-14,,0.0099,0.011,????,2017-06-20,0.0,0.0
16,stock_sz_000983_2018-07-12,stock_sz_000983,2018-07-12,emquantapi,000983,2017-12-31,2018-04-24,2018-07-11,2018-07-12,10?0.4?,,2018-07-05,,0.036,0.04,????,2018-07-12,,
17,stock_sz_000983_2019-06-26,stock_sz_000983,2019-06-26,emquantapi,000983,2018-12-31,2019-04-23,2019-06-25,2019-06-26,10?3?,,2019-06-18,,0.27,0.3,????,2019-06-26,,
18,stock_sz_000983_2020-06-24,stock_sz_000983,2020-06-24,emquantapi,000983,2019-12-31,2020-04-21,2020-06-23,2020-06-24,10?3?1?,,2020-06-17,,0.06,0.1,????,2020-06-24,0.3,
