,id,entity_id,timestamp,provider,code,report_date,announce_date,record_date,dividend_date,dividend,announce_date_general_meeting,announce_date_dividend_implementation,last_trading_day_b_shares,dividend_per_share_after_tax,dividend_per_share_before_tax,dividend_plan_progress,dividend_pay_date,share_bonus_per_share,per_share_conversion_ratio
0,stock_sh_601857_2008-05-29,stock_sh_601857,2008-05-29,emquantapi,601857,2007-12-31,2008-03-20,2008-05-28,2008-05-29,10?0?0?1.5686?,,2008-05-23,,0.14117,0.15686,????,2008-06-13,0.0,0.0
1,stock_sh_601857_2009-06-01,stock_sh_601857,2009-06-01,emquantapi,601857,2008-12-31,2009-03-26,2009-05-27,2009-06-01,10?0?0?1.4953?,,2009-05-22,,0.13458,0.14953,????,2009-06-19,0.0,0.0
2,stock_sh_601857_2010-06-03,stock_sh_601857,2010-06-03,emquantapi,601857,2009-12-31,2010-03-26,2010-06-02,2010-06-03,10?0?0?1.3003?,,2010-05-28,,0.11703,0.13003,????,2010-06-30,0.0,0.0
3,stock_sh_601857_2011-06-01,stock_sh_601857,2011-06-01,emquantapi,601857,2010-12-31,2011-03-18,2011-05-31,2011-06-01,10?0?0?1.8357?,,2011-05-26,,0.16521,0.18357,????,2011-06-30,0.0,0.0
4,stock_sh_601857_2012-06-07,stock_sh_601857,2012-06-07,emquantapi,601857,2011-12-31,2012-03-30,2012-06-06,2012-06-07,10?0?0?1.6462?,,2012-06-01,,0.14816,0.16462,????,2012-07-12,0.0,0.0
5,stock_sh_601857_2013-06-06,stock_sh_601857,2013-06-06,emquantapi,601857,2012-12-31,2013-03-22,2013-06-05,2013-06-06,10?1.3106?,,2013-05-31,,0.11795,0.13106,????,2013-07-18,,
6,stock_sh_601857_2014-06-05,stock_sh_601857,2014-06-05,emquantapi,601857,2013-12-31,2014-03-21,2014-06-04,2014-06-05,10?1.5755?,,2014-05-29,,0.1418,0.15755,????,2014-06-10,,
7,stock_sh_601857_2015-07-09,stock_sh_601857,2015-07-09,emquantapi,601857,2014-12-31,2015-03-27,2015-07-08,2015-07-09,10?0.9601?,,2015-07-02,,0.08641,0.09601,????,2015-07-09,,
8,stock_sh_601857_2016-06-08,stock_sh_601857,2016-06-08,emquantapi,601857,2015-12-31,2016-03-24,2016-06-07,2016-06-08,10?0.2486?,,2016-06-02,,0.02237,0.02486,????,2016-06-08,,
9,stock_sh_601857_2017-06-22,stock_sh_601857,2017-06-22,emquantapi,601857,2016-12-31,2017-03-31,2017-06-21,2017-06-22,10?0.3801?,,2017-06-16,,0.034209,0.03801,????,2017-06-22,,
10,stock_sh_601857_2018-06-21,stock_sh_601857,2018-06-21,emquantapi,601857,2017-12-31,2018-03-23,2018-06-20,2018-06-21,10?0.6074?,,2018-06-13,,0.054666,0.06074,????,2018-06-21,,
11,stock_sh_601857_2019-06-28,stock_sh_601857,2019-06-28,emquantapi,601857,2018-12-31,2019-03-22,2019-06-27,2019-06-28,10?0.9?,,2019-06-21,,0.081,0.09,????,2019-06-28,,
12,stock_sh_601857_2020-06-30,stock_sh_601857,2020-06-30,emquantapi,601857,2019-12-31,2020-03-27,2020-06-29,2020-06-30,10?0.6601?,,2020-06-20,,0.059409,0.06601,????,2020-06-30,,
